category,strategy,solver,n_iters,converged,wall_time,final_pos_err_mm,final_orient_err_deg
general,cold,DLS,10,True,0.10833144187927246,3.6384661,0.04763409122824669
general,cold,DLS,300,False,0.9503190517425537,177.02362,8.378471374511719
general,cold,DLS,43,True,0.13344287872314453,3.873943,0.12166354060173035
general,cold,DLS,22,True,0.06440258026123047,4.956758,0.06147589534521103
general,cold,DLS,26,True,0.08758401870727539,4.5764256,0.032361507415771484
general,cold,DLS,10,True,0.04249095916748047,4.4417033,0.0
general,cold,DLS,6,True,0.02591562271118164,3.724508,0.0
general,cold,DLS,35,True,0.12666535377502441,4.414006,0.053626544773578644
general,cold,DLS,43,True,0.15876436233520508,4.8042207,0.04566171020269394
general,cold,DLS,300,False,0.9320673942565918,146.37999,0.9940382242202759
general,cold,DLS,29,True,0.08600211143493652,4.977284,0.07865499705076218
general,cold,DLS,17,True,0.05306220054626465,4.82398,0.025582751259207726
general,cold,DLS,300,False,0.9464595317840576,11.092821,9.340219497680664
general,cold,DLS,23,True,0.07088661193847656,4.71911,0.031380392611026764
general,cold,DLS,31,True,0.09571051597595215,4.4781065,0.0
general,cold,DLS,13,True,0.042610883712768555,3.8280632,0.09470196813344955
general,cold,DLS,99,True,0.3137376308441162,4.9471374,0.047588929533958435
general,cold,DLS,18,True,0.05782604217529297,4.0173173,0.06459087133407593
general,cold,DLS,300,False,0.9902386665344238,10.503894,1.9300838708877563
general,cold,DLS,32,True,0.09519076347351074,4.680499,0.08434329181909561
general,cold,DLS,300,False,0.9610037803649902,286.64438,0.2048475295305252
general,cold,DLS,5,True,0.017472028732299805,4.052828,0.1127505674958229
general,cold,DLS,73,True,0.21153903007507324,4.8714266,0.08515062183141708
general,cold,DLS,45,True,0.13815808296203613,4.9765105,0.0
general,cold,DLS,17,True,0.050290584564208984,4.8675632,0.02501014992594719
general,cold,DLS,300,False,0.952042818069458,80.6244,0.6649754643440247
general,cold,DLS,16,True,0.04769611358642578,4.715731,0.11016145348548889
general,cold,DLS,17,True,0.0482330322265625,4.602871,0.050648633390665054
general,cold,DLS,21,True,0.06057167053222656,4.999221,0.09857994318008423
general,cold,DLS,300,False,0.9147863388061523,33.968994,20.212244033813477
general,cold,DLS,22,True,0.06616950035095215,3.94792,0.05070622265338898
general,cold,DLS,27,True,0.08051729202270508,4.579124,0.038401734083890915
general,cold,DLS,12,True,0.043027400970458984,4.1220417,0.0
general,cold,DLS,29,True,0.09058785438537598,4.5595717,0.0
general,cold,DLS,49,True,0.15030860900878906,4.851974,0.05538969486951828
general,cold,DLS,22,True,0.06980109214782715,4.6956143,0.0
general,cold,DLS,20,True,0.06681632995605469,4.0900254,0.018768366426229477
general,cold,DLS,15,True,0.04767441749572754,4.1977544,0.08527886867523193
general,cold,DLS,40,True,0.11845827102661133,4.723626,0.03699713572859764
general,cold,DLS,12,True,0.035919904708862305,4.7064276,0.0
general,cold,DLS,112,True,0.3365309238433838,4.895623,0.06113499775528908
general,cold,DLS,10,True,0.044881343841552734,4.8995185,0.07212866842746735
general,cold,DLS,300,False,0.93843674659729,59.976505,0.4265243113040924
